Word;Score
light;0,041117074
ample;0,040571197
avenue;0,040234127
location;0,040142332
between;0,039472655
sized;0,0394509
site;0,039168531
market;0,039098095
take;0,038570622
shower;0,038364317
king;0,03829845
wood;0,038024333
tops;0,037523256
close;0,036991047
appointment;0,036145574
throughout;0,035960542
services;0,034169927
district;0,034137567
supports;0,033605793
storage;0,031908074
closets;0,031332633
ft;0,0310978
hudson;0,030378314
bed;0,030036269
make;0,029255404
upper;0,027570928
will;0,027506055
housing;0,026654409
feature;0,026131317
offer;0,02567284
viewing;0,025512658
can;0,025216902
place;0,024359134
home;0,024230488
trains;0,024016837
restaurants;0,023755163
equal;0,023091018
garage;0,022798887
so;0,022100497
opportunity;0,021855102
><p><a;0,021777347
square;0,020379714
nyc;0,019494141
line;0,019408458
studio;0,019089416
hour;0,018167942
up;0,017652499
three;0,017468491
ceiling;0,017218139
out;0,016810599
street;0,016680944
>;0,016408089
dryer;0,016362996
counter;0,015784275
be;0,0152
e;0,015153873
art;0,015095533
white;0,014838128
spacious;0,013202996
fixtures;0,011659167
just;0,009740084
w;0,008817398
lobby;0,007505936
estate;0,007213114
m;0,007
view;0,006734795
windows;0,005271345
top;0,00515335
cabinets;0,003944335
pre;0,002993525
closet;0,002689655
st;0,002030279
kagglemanager@renthop;0,001718896
ceilings;0,001569555
river;0,001298935
available;-0,000478632
two;-0,002308511
located;-0,002437322
no;-0,003519802
large;-0,0039902
door;-0,004375948
s;-0,005430748
contact;-0,005548733
luxury;-0,005939527
not;-0,008713879
email;-0,009219765
renovated;-0,009654728
rooftop;-0,009766322
style;-0,009845703
today;-0,009927925
private;-0,012184857
our;-0,013762206
time;-0,0159811
beautiful;-0,016693494
c;-0,018545519
space;-0,021742099
finishes;-0,022163933
city;-0,022509628
bath;-0,023693264
stunning;-0,023742123
please;-0,024018519
real;-0,02448171
floor;-0,024727858
living;-0,025198753
york;-0,025578962
th;-0,026904596
pets;-0,027083128
hardwood;-0,027203399
south;-0,027453328
i;-0,027850898
it;-0,027863405
has;-0,028260792
marble;-0,029001071
service;-0,030891907
my;-0,031300743
bathrooms;-0,033484344
featuring;-0,0352593
cabinetry;-0,037242473
com;-0,037516054
from;-0,038744124
been;-0,039728607
more;-0,040055985
laundry;-0,0422749
end;-0,042546349
open;-0,044773927
dishwasher;-0,044799956
high;-0,045344961
bathroom;-0,04668147
by;-0,046922296
many;-0,046989362
as;-0,047150442
all;-0,047339677
me;-0,048047425
call;-0,048235043
steel;-0,049657303
great;-0,049703441
floors;-0,050560548
have;-0,052353824
neighborhood;-0,05293025
garden;-0,05412107
pet;-0,055034203
equipped;-0,055447862
views;-0,056478474
access;-0,05672108
miss;-0,05932623
appliances;-0,059746886
concierge;-0,061161066
park;-0,065132616
enjoy;-0,065147189
see;-0,065502868
are;-0,06697427
also;-0,067060694
granite;-0,069449388
west;-0,077031887
state;-0,081037176
an;-0,08230699
flooring;-0,083403469
central;-0,08432407
off;-0,087686142
kitchen;-0,093961538
any;-0,096228832
<br;-0,09662133
new;-0,096797935
outdoor;-0,097961081
at;-0,098352186
website_redacted;-0,098495622
stainless;-0,100228435
room;-0,100390751
fitness;-0,101399633
you;-0,101956978
dining;-0,104584435
oak;-0,104826599
unit;-0,106009771
club;-0,106614024
most;-0,107388506
countertops;-0,111134807
bedroom;-0,111515752
roof;-0,111767281
amenities;-0,112210775
area;-0,113077763
your;-0,118090975
on;-0,11814446
center;-0,118247688
that;-0,119286008
or;-0,121570475
recessed;-0,122242909
chelsea;-0,124782399
residents;-0,12587037
resident;-0,127501528
this;-0,13301023
side;-0,135793958
east;-0,138467219
features;-0,14632397
building;-0,14690625
doorman;-0,15639141
apartment;-0,159142384
full;-0,162737277
><br;-0,163984006
washer;-0,177034821
lounge;-0,17765478
gourmet;-0,185555573
for;-0,188729814
of;-0,189195353
with;-0,190759631
gym;-0,192678698
schedule;-0,198502028
including;-0,216476388
to;-0,238461672
is;-0,261445122
in;-0,299972593
elevator;-0,307582369
other;-0,309910399
the;-0,309910399
and;-0,309910399
a;-0,328433182
now;-0,367317279
broker;-0,3685
deck;-0,3685
immediate;-0,3685
beautifully;-0,3685
modern;-0,369551639
public;-0,387868655
manhattan;-0,387868655
